"","product_group","year","exports"
"263","Fuels","1993",17983.078
"264","Fuels","1994",12349.344
"265","Fuels","1995",16376.06
"266","Fuels","1996",30034.984
"267","Fuels","1997",40702.417
"268","Fuels","1998",56499.227
"269","Fuels","1999",48521.936
"270","Fuels","2000",59119.729
"271","Fuels","2001",99316.24
"272","Fuels","2002",57181.173
"273","Fuels","2003",100363.81
"274","Fuels","2004",97395.443
"275","Fuels","2005",110215.703
"276","Fuels","2006",117702.645
"277","Fuels","2007",159854.66
"278","Fuels","2008",468815.334
"279","Fuels","2009",298875.828
"280","Fuels","2010",507701.583
"281","Fuels","2011",772657.067
"282","Fuels","2012",712952.493
"283","Fuels","2013",762685.059
"284","Fuels","2014",950043.568
"285","Fuels","2015",589503.309
"286","Fuels","2016",674416.57
"287","Fuels","2017",812300.766
"288","Fuels","2018",1292705.299
"289","Fuels","2019",1539453.088
"290","Fuels","2020",1533091.496
"291","Hides and Skins","1992",3261.6
"292","Hides and Skins","1993",16256.35
"293","Hides and Skins","1994",32308.064
"294","Hides and Skins","1995",44254.908
"295","Hides and Skins","1996",46662.485
"296","Hides and Skins","1997",62583.791
"297","Hides and Skins","1998",56750.491
"298","Hides and Skins","1999",66384.521
"299","Hides and Skins","2000",75055.928
"300","Hides and Skins","2001",94281.441
"301","Hides and Skins","2002",101981.015
"302","Hides and Skins","2003",133336.776
"303","Hides and Skins","2004",141668.835
"304","Hides and Skins","2005",166336.652
"305","Hides and Skins","2006",223262.672
"306","Hides and Skins","2007",305126.471
"307","Hides and Skins","2008",397292.745
"308","Hides and Skins","2009",415982.904
"309","Hides and Skins","2010",576787.057
"310","Hides and Skins","2011",824387.942000001
"311","Hides and Skins","2012",995206.08
"312","Hides and Skins","2013",989289.079
"313","Hides and Skins","2014",1072947.257
"314","Hides and Skins","2015",1247315.389
"315","Hides and Skins","2016",957613.188
"316","Hides and Skins","2017",1014656.312
"317","Hides and Skins","2018",1007382.008
"318","Hides and Skins","2019",1038555.976
"319","Hides and Skins","2020",1046970.3
"320","Mach and Elec","1992",91321.323
"321","Mach and Elec","1993",182392.872
"322","Mach and Elec","1994",178583.507
"323","Mach and Elec","1995",304635.211
"324","Mach and Elec","1996",356020.097
"325","Mach and Elec","1997",446569.168
"326","Mach and Elec","1998",595868.709
"327","Mach and Elec","1999",656244.513
"328","Mach and Elec","2000",698794.177
"329","Mach and Elec","2001",951138.689
"330","Mach and Elec","2002",1187284.102
"331","Mach and Elec","2003",1708049.389
"332","Mach and Elec","2004",2314672.048
"333","Mach and Elec","2005",3494830.29
"334","Mach and Elec","2006",5113529.761
"335","Mach and Elec","2007",7215279.731
"336","Mach and Elec","2008",11458262.908
"337","Mach and Elec","2009",9778337.379
"338","Mach and Elec","2010",12422271.062
"339","Mach and Elec","2011",14675563.747
"340","Mach and Elec","2012",14948823.077
"341","Mach and Elec","2013",17273692.388
"342","Mach and Elec","2014",20331643.479
"343","Mach and Elec","2015",20163261.386
"344","Mach and Elec","2016",17233373.515
"345","Mach and Elec","2017",17195335.435
"346","Mach and Elec","2018",18845131.225
"347","Mach and Elec","2019",20617639.669
"348","Mach and Elec","2020",20279813.723
"349","Metals","1992",60972.392
"350","Metals","1993",79025.33
"351","Metals","1994",96589.622
"352","Metals","1995",155092.819
"353","Metals","1996",148377.732
"354","Metals","1997",191161.023
"355","Metals","1998",451889.801
"356","Metals","1999",258679.098
"357","Metals","2000",288995.12
"358","Metals","2001",342686.052
"359","Metals","2002",385868.387
"360","Metals","2003",562942.365
"361","Metals","2004",860029.091
"362","Metals","2005",1173210.651
"363","Metals","2006",1785156.166
"364","Metals","2007",2935098.018
"365","Metals","2008",5025500.163
"366","Metals","2009",4003678.561
"367","Metals","2010",4530193.188
"368","Metals","2011",6232414.714
"369","Metals","2012",6789910.137
"370","Metals","2013",8051550.903
"371","Metals","2014",9273425.974
"372","Metals","2015",9581765.99699999
"373","Metals","2016",7202422.268
"374","Metals","2017",7678967.807
"375","Metals","2018",9427024.375
"376","Metals","2019",9983605.96800001
"377","Metals","2020",10609245.39
"378","Minerals","1992",1103.304
"379","Minerals","1993",3396.179
"380","Minerals","1994",5104.246
"381","Minerals","1995",17149.481
"382","Minerals","1996",10193.277
"383","Minerals","1997",12906.85
"384","Minerals","1998",15156.844
"385","Minerals","1999",15457.787
"386","Minerals","2000",14214.605
"387","Minerals","2001",18667.106
"388","Minerals","2002",17882.487
"389","Minerals","2003",22505.795
"390","Minerals","2004",37703.428
"391","Minerals","2005",94385.317
"392","Minerals","2006",154365.87
"393","Minerals","2007",173660.249
"394","Minerals","2008",291265.535
"395","Minerals","2009",275432.474
"396","Minerals","2010",328991.627
"397","Minerals","2011",323221.025
"398","Minerals","2012",338677.116
"399","Minerals","2013",403665.322
"400","Minerals","2014",346549.1
"401","Minerals","2015",209758.727
"402","Minerals","2016",165678.657
"403","Minerals","2017",125368.532
"404","Minerals","2018",53164.77
"405","Minerals","2019",46499.164
"406","Minerals","2020",54989.597
"407","Miscellaneous","1992",114293.394
"408","Miscellaneous","1993",42179.314
"409","Miscellaneous","1994",56842.649
"410","Miscellaneous","1995",72841.311
"411","Miscellaneous","1996",82534.73
"412","Miscellaneous","1997",99217.168
"413","Miscellaneous","1998",157754.43
"414","Miscellaneous","1999",140460.025
"415","Miscellaneous","2000",147872.279
"416","Miscellaneous","2001",177470.67
"417","Miscellaneous","2002",209206.864
"418","Miscellaneous","2003",280314.483
"419","Miscellaneous","2004",421502.819
"420","Miscellaneous","2005",745174.627
"421","Miscellaneous","2006",1023128.105
"422","Miscellaneous","2007",1282740.917
"423","Miscellaneous","2008",1484185.817
"424","Miscellaneous","2009",1491961.133
"425","Miscellaneous","2010",2029774.883
"426","Miscellaneous","2011",2617972.859
"427","Miscellaneous","2012",4902538.158
"428","Miscellaneous","2013",4638939.561
"429","Miscellaneous","2014",5645089.657
"430","Miscellaneous","2015",5678404.165
"431","Miscellaneous","2016",4172876.791
"432","Miscellaneous","2017",4267378.539
"433","Miscellaneous","2018",4607833.114
"434","Miscellaneous","2019",5136456.415
"435","Miscellaneous","2020",5773879.421
"436","Plastic or Rubber","1992",9070.611
"437","Plastic or Rubber","1993",18786.404
"438","Plastic or Rubber","1994",22447.138
"439","Plastic or Rubber","1995",42393.517
