"","name_long","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Total_Exports"
"72","Seychelles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,14
"73","Sierra Leone",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,21
"74","Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
"75","Somalia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"76","South Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12
"77","Sri Lanka",137,19,0,23,15,52,0,28,18,28,22,3,8,18,28,49,48,67,0,4,0,0,0,0,0,0,0,1,59,0,0,627
"78","Sudan",46,6,0,0,0,0,54,0,0,0,3,16,97,16,39,25,7,28,6,17,18,29,28,32,35,20,44,32,0,0,0,598
"79","Syria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15,0,0,0,5,0,0,0,0,0,0,0,76
"80","Tajikistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4
"81","Tanzania",0,18,0,4,0,0,0,0,0,0,0,1,46,0,0,0,0,0,25,0,76,113,118,14,20,0,2,0,0,0,29,466
"82","Thailand",231,187,0,258,258,150,0,0,0,25,0,0,0,0,11,11,0,0,11,0,2,18,22,7,1,77,131,52,97,9,23,1581
"83","Timor-Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18
"84","Trinidad and Tobago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16
"85","Tunisia",0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"86","Turkey",0,0,0,0,0,0,0,6,6,6,0,7,7,14,14,28,35,35,35,35,35,35,0,0,0,0,0,0,0,0,0,298
"87","Turkmenistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,4,0,0,0,0,234
"88","UAE",0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,37,46,12,11,0,180
"89","Uganda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,15
"90","United Wa State (Myanmar)*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
"91","Unknown recipient(s)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Uzbekistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,107,0,0,0,122
"93","Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,41,54,89,8,51,97,74,100,76,0,0,0,0,0,631
"94","Viet Minh (France)*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Viet Nam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","Yemen",0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"97","Zambia",0,0,0,0,0,6,0,0,0,39,0,0,0,0,0,21,4,2,0,0,0,51,0,0,0,33,33,0,0,1,0,190
"98","Zimbabwe",18,0,0,0,0,0,0,0,0,0,0,0,0,13,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
