"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.41968949430497E-06","2.36026629091416E-06","0","0","",
"American Samoa","ASM","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Antigua and Barbuda","ATG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Australia","AUS","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","0.134279472052375","0.105049579652602","0.107200835160943","0.103268754424887","0.293390122966746","1.1065203735731","1.22991099083218","1.29733630141822","1.00367260103144","0.856468345055333","0.839983660428912","1.38089762971554","1.43781342611575","1.19540926536654","0.889414442086754","0.993703197767954","0.60523396611817","0.198596792813255","0.224158430438028","0.312581122506386","0.368110163386599","0.348024364242002","0.25226883101859","0.138930542037576","0.0538622355711252","0.164112788237986","0.110524894053784","0.102546848515319","0.174570637439188","0.106665704241928","0.183263142708389","0.616532302905281","0.380923136998468","0.214895957156679","0.923080881601952","0.99654018128929","1.06012972096843","0.847497475975983","2.94788882418366","1.50419421632064","2.01453190671547","2.35341026412152","1.19292521221964","0.813849827096943","0.752267330272999","0.467132165152058","0.59297621484907","0.775574943691344","0.794849364902514","0.69133011478909","0.554131792348425","",
"Austria","AUT","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","0","0.002451349124589","0.0023752893414459","0.00221020129898103","0.00453750015295612","0.0327027509529863","0.0314880517531451","0.0258553906395901","0.0148123140176679","0.00952480725775576","0.0189885371019832","0.0490770095594647","0.0565606922696107","0.0223364483967421","0.0125056420048179","0.0187483810013805","0.00379891536429748","0.000799438220892816","0.000875574407690322","0.00107915754066497","0.00359143466597501","0.00273038921515364","0.00120165011729154","0.000125994333819132","0.000124607449967329","0.000502824411799825","0.000227830588302389","0.000108935516525044","0.000210594618918543","3.7609050883809E-05","0.00045444817955648","0.00145680591792648","0.000526425447234593","0.00037786756614585","0.000656880960255775","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Azerbaijan","AZE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Burundi","BDI","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Belgium","BEL","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","0.103914070237397","0.109287889564713","0.0810819029740888","0.059817300582801","0.0949765360111424","0.199802509916528","0.215707270691823","0.18084217509939","0.12901990324509","0.101383899157724","0.10029998353512","0.165862813382381","0.215949360168823","0.158606160194564","0.130387348392566","0.118018411735031","0.0558715054862715","0.0205600614631602","0.00373224475121939","0.000267984900116079","0.00232780164673406","0.00124020959035437","0.000208553146917284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Benin","BEN","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Burkina Faso","BFA","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
