region,country,location_of_space,name_of_space,status,host_institution_name,year_opened,year_closed
WHA,United States of America,Stony Brook,Confucius Institute at Stony Brook University,Closed,Stony Brook University,2008,2021
WHA,United States of America,College Station,Confucius Institute at Texas A&M University,Closed,Texas A&M University,2008,2018
WHA,United States of America,Akron,Confucius Institute at University of Akron,Closed,University of Akron,2008,2022
WHA,United States of America,Minneapolis,Confucius Institute at University of Minnesota,Closed,University of Minnesota,2008,2019
WHA,United States of America,Missoula,Confucius Institute at University of Montana,Closed,University of Montana,2008,2019
WHA,United States of America,Colombia,Confucius Institute at University of South Carolina,Closed,University of South Carolina,2008,2021
WHA,United States of America,Toledo,Confucius Institute at University of Toledo,Active,University of Toledo,2008,NA
WHA,United States of America,Binghamton,Confucius Institute at Binghamton University,Closed,Binghamton University,2009,2021
WHA,United States of America,Cleveland,Confucius Institute at Cleveland State University,Closed,Cleveland State University,2009,2021
WHA,United States of America,New York,Confucius Institute at Columbia University,Closed,Columbia University,2009,2021
WHA,United States of America,Miami,Confucius Institute at Miami Dade College,Closed,Miami Dade College,2009,2019
WHA,United States of America,Murfreeboro,Confucius Institute at Middle Tennessee State University,Closed,Middle Tennessee State University,2009,2020
WHA,United States of America,New York,Confucius Institute at Pace University,Closed,Pace University,2009,2019
WHA,United States of America,Stanford,Confucius Institute at Stanford University,Active,Stanford University,2009,NA
WHA,United States of America,New York,Confucius Institute at SUNY College of Optometry,Closed,SUNY College of Optometry,2009,2021
WHA,United States of America,Buffalo,"Confucius Institute at University at Buffalo, State University of New York",Closed,"University at Buffalo, State University of New York",2009,2021
WHA,United States of America,Anchorage,Confucius Institute at University of Alaska Anchorage,Closed,University of Alaska Anchorage,2009,2020
WHA,United States of America,Chicago,Confucius Institute at University of Chicago,Closed,University of Chicago,2009,2014
WHA,United States of America,Newark,Confucius Institute at University of Delaware,Closed,University of Delaware,2009,2020
WHA,United States of America,Ann Arbor,Confucius Institute at University of Michigan,Closed,University of Michigan,2009,2018
