region,country,location_of_space,name_of_space,status,host_institution_name,year_opened,year_closed
EUR,North Macedonia,Skopje,Confucius Institute at SS Cyril and Methodius University,Active,SS Cyril and Methodius University,2013,NA
EUR,Norway,Bergen,Confucius Institute at University of Bergen,Closed,University of Bergen,2008,2021
SCA,Pakistan,Islamabad,Confucius Institute at National University of Modern Languages,Active,National University of Modern Languages,2005,NA
SCA,Pakistan,Karachi,Confucius Institute at University of Karachi,Active,University of Karachi,2013,NA
SCA,Pakistan,Faisalabad,Confucius Institute at University of Agriculture Faisalabad,Active,University of Agriculture Faisalabad,2014,NA
SCA,Pakistan,Lahore,Confucius Institute at University of the Punjab,Active,University of the Punjab,2015,NA
NEA,Palestine,Abu Dis,Confucius Institute at Al-Quds University,Active,Al-Quds University,2018,NA
WHA,Panama,Panama City,Confucius Institute at University of Panama,Active,University of Panama,2016,NA
EAP,Papua New Guinea,Lae,Confucius Institute at Papua New Guinea University of Technology,Active,Papua New Guinea University of Technology,2021,NA
WHA,Peru,Lima,Confucius Institute at Catholic University of Peru,Active,Catholic University of Peru,2007,NA
WHA,Peru,Arequipa,Confucius Institute at Catholic University of Santa Maria,Active,Catholic University of Santa Maria,2007,NA
WHA,Peru,Lima,Confucius Institute at Ricardo Palma University,Active,Ricardo Palma University,2009,NA
WHA,Peru,Piura,Confucius Institute at University of Piura,Active,University of Piura,2009,NA
EAP,Philippines,Manila,Confucius Institute at Ateneo de Manila University,Active,Ateneo de Manila University,2006,NA
EAP,Philippines,Malolos,Confucius Institute at Bulacan State University,Active,Bulacan State University,2007,NA
EAP,Philippines,Angeles,Confucius Institute at Angeles University Foundation,Active,Angeles University Foundation,2009,NA
EAP,Philippines,Quezon City,Confucius Institute at University of the Philippines,Active,University of the Philippines,2014,NA
EUR,Poland,Krakow,Confucius Institute at Jagiellonian University,Active,Jagiellonian University,2006,NA
EUR,Poland,Poznan,Confucius Institute at Adam Mickiewicz University,Active,Adam Mickiewicz University,2007,NA
EUR,Poland,Opole,Confucius Institute at Opole University of Technology,Active,Opole University of Technology,2007,NA
EUR,Poland,Wroclaw,Confucius Institute at University of Wrocław,Active,University of Wrocław,2007,NA
EUR,Poland,Gdańsk,Confucius Institute at University of Gdańsk,Active,University of Gdańsk,2014,NA
EUR,Poland,Warsaw,Confucius Institute at the Warsaw Institute of Technology,Active,Warsaw Institute of Technology,2019,NA
EUR,Portugal,Braga,Confucius Institute at University of Minho,Active,University of Minho,2005,NA
EUR,Portugal,Lisboa,Confucius Institute at University of Lisbon,Active,University of Lisbon,2007,NA
EUR,Portugal,Aveiro,Confucius Institute at University of Aveiro,Active,University of Aveiro,2014,NA
EUR,Portugal,Coimbra,Confucius Institute at University of Coimbra,Active,University of Coimbra,2015,NA
EUR,Portugal,Porto,Confucius Institute at University of Porto,Active,University of Porto,2018,NA
EAP,Republic of Korea,Cheongju,Confucius Institute at Chungbuk National University,Active,Chungbuk National University,2006,NA
EAP,Republic of Korea,Busan,Confucius Institute at Dong-A University,Active,Dong-A University,2006,NA
EAP,Republic of Korea,Busan,Confucius Institute at Dongseo University,Active,Dongseo University,2006,NA
EAP,Republic of Korea,Gwangju,Confucius Institute at Honam University,Active,Honam University,2006,NA
EAP,Republic of Korea,Daejeon,Confucius Institute at Woosong University,Active,Woosong University,2006,NA
EAP,Republic of Korea,Daejeon,Confucius Institute at Chungnam National University,Active,Chungnam National University,2007,NA
EAP,Republic of Korea,Mokpo,Confucius Institute at Daebul University,Active,Daebul University,2007,NA
EAP,Republic of Korea,Pocheon,Confucius Institute at Daejin University,Active,Daejin University,2007,NA
EAP,Republic of Korea,Chuncheon,Confucius Institute at Kangwon National University,Active,Kangwon National University,2007,NA
EAP,Republic of Korea,Daegu,Confucius Institute at Keimyung University,Active,Keimyung University,2007,NA
EAP,Republic of Korea,Asan,Confucius Institute at Soon Chun Hyang University,Active,Soon Chun Hyang University,2007,NA
EAP,Republic of Korea,Cheju,Confucius Institute at Cheju Halla College,Active,Cheju Halla College,2009,NA
EAP,Republic of Korea,Seoul,Confucius Institute at Hankuk University of Foreign Studies,Active,Hankuk University of Foreign Studies,2009,NA
EAP,Republic of Korea,Incheon,Confucius Institute at University of Incheon,Active,University of Incheon,2009,NA
EAP,Republic of Korea,Chonju,Confucius Institute at Woosuk University,Active,Woosuk University,2009,NA
EAP,Republic of Korea,Yongin-si,Confucius Institute at Kyung Hee University,Active,Kyung Hee University,2011,NA
EAP,Republic of Korea,Andong,Confucius Institute at Andong National University,Active,Andong National University,2012,NA
EAP,Republic of Korea,Seoul,Confucius Institute at Yonsei University,Active,Yonsei University,2012,NA
EAP,Republic of Korea,Jecheon,Confucius Institute at Semyung University,Active,Semyung University,2014,NA
EAP,Republic of Korea,Iksan,Confucius Institute at Wonkwang University,Active,Wonkwang University,2014,NA
EAP,Republic of Korea,Seoul,Confucius Institute at Hanyang University,Active,Hanyang University,2015,NA
EAP,Republic of Korea,Jeju,Confucius Institute at Jeju National University,Active,Jeju National University,2016,NA
EUR,Republic of Moldova,Chisinau,Confucius Institute at Free International University of Moldova,Active,Free International University of Moldova,2009,NA
