Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.293699577,0.26088946,0.33173145,0.495602552,0.381909486,0.567896248,0.714591019,2.48817921,1.776654347,0.679225991,0.754120889,0.548097296,0.868391022,0.650501463,0.533453646,0.319438376,0.579746279,0.481330631,0.483462719,0.445419338,0.538114643,0.529293772,0.515874466,0.428659884,0.402697598,0.455277239,0.442064794,0.384717223,0.361923932,0.438698144,0.5781924,0.62475005,0.758870103,0.74482706,0.765082434,0.985276089,1.356007135,1.18857823,1.106689659,1.158007341,1.151906686,1.641664961,1.632411801,1.165407416,1.115607214,0.923666723,0.586126104,0.563197532,0.599715199,0.412651566,0.318967549,
Bulgaria,BGR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.838030214,1.963721647,2.040349038,1.504745158,1.299435819,1.679084164,0.829493578,0.565985256,2.972420545,2.731088682,1.107706629,1.385832804,1.385892888,0.982600743,1.092920469,0.847726802,0.995646528,0.965115673,0.534855091,0.61452192,0.645139894,0.700664992,0.455641574,0.429226748,1.147885086,1.4068047,1.857447917,1.700976287,1.963112944,0.707748351,1.692842334,2.154134932,1.638946993,1.124089855,0.789203022,0.656180991,0.524145151,0.746831714,0.671719737,0.579169523,0.587943699,
Bahrain,BHR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,72.02774776,60.22743754,33.80268525,31.49867509,34.23918271,33.00567581,26.51445468,32.335273,24.8358114,32.9323229,39.99312487,22.68771199,22.87512301,20.24403804,16.5122835,17.25854966,20.89601836,19.12656444,12.80567277,16.66039347,21.21276993,18.12337489,16.98570073,17.31297934,18.72137123,23.04004148,23.73897413,22.06552283,24.75191745,17.47622557,19.74543077,27.0795088,23.93791749,24.8392438,22.56536248,12.24954726,8.765337235,10.15692841,13.03690801,11.31422834,8.682726884,
"Bahamas, The",BHS,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.906985202,0.847335719,0.893551077,0.847806842,0.747448128,0.444608755,0.270890814,0.293562659,0.296956269,0.200212489,0.226219082,0.187229092,0.185349293,0.140886369,0.114903866,0.040841526,0.040423691,0.043034982,0.066143799,0.058369889,0.117517923,0.098538602,0.084737846,0.106734839,0.082394945,0.093975507,0.08009688,0.040691346,0.0098206,0.008947106,0.006546234,0.006725527,0.008027619,0.007119133,0.006320852,0.006186466,0.007401859,0.007864169,0.008815082,0.008625399,0.015294778,0.013281663,0.012326209,0.014628204,0.017675425,0.014228497,0.017200016,0.017266867,0.01311646,0.012459496,0.017921463,
Bosnia and Herzegovina,BIH,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24799193,0.849406188,0.090837586,1.908569428,1.545745646,1.359024434,1.252553966,1.304011133,0.870264498,0.820290458,1.704270342,1.831346999,1.643143846,2.121987239,3.649224356,1.472106102,2.745565699,3.553433204,2.257531527,1.78183507,1.239900211,1.011813949,1.039346397,1.27177741,1.034676412,0.790181076,0.77019229,
Belarus,BLR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992593177,,,,1.566554852,2.289823258,3.290218097,3.117969254,0.744718063,1.641703283,2.456118886,2.095443395,1.793321358,1.742737522,1.7629997,1.755433887,1.711027736,1.555436498,1.531098441,1.123455907,1.331911272,1.728070411,1.798577066,1.475164567,1.340519127,1.171438475,1.272534142,1.618090721,1.990933258,1.728593283,1.698519183,
Belize,BLZ,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.993307334,0.890162687,0.817435115,1.321847133,0.992842713,1.217720709,1.13198493,1.061159345,1.12096925,1.557448552,1.318999148,1.098051542,1.724917667,0.983097545,0.660556481,0.56307571,0.458824723,0.76802523,0.666135185,0.650219922,0.763749696,0.72187098,0.638618759,0.584828609,0.527463131,0.642907054,0.543936493,0.526029361,0.439508234,0.376298424,0.275821342,0.274365396,0.285895527,0.276553566,0.244942757,0.287130991,3.245530463,4.211805769,6.19693167,3.723479315,5.354010461,6.941969925,4.836415603,3.556001494,2.640781794,1.209520582,1.039815032,0.954178598,0.996808197,0.790219798,0.829193635,
Bermuda,BMU,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia,BOL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,2.206445258,1.780677952,1.7714521,4.825488166,8.551429315,4.601158693,4.182098487,5.198233191,5.432897259,8.855158122,11.59778956,5.276991258,4.178263716,4.794530781,3.517324227,3.389984958,2.395445823,3.399457905,5.172950786,7.228681429,7.263624799,4.016062237,3.862226588,3.594188387,4.419732524,5.05991399,4.818680365,3.98370629,1.994529853,2.495614943,3.966170669,3.859843492,4.340088369,4.722904546,8.080418475,11.7110949,14.4610552,14.60046667,12.34207293,7.003634232,9.287894404,12.83796321,11.47256904,10.90416779,8.917595034,3.828941085,3.32733197,5.291432734,5.066760145,3.362197282,2.987905431,
Brazil,BRA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.640455076,1.416712084,1.398939906,1.420371571,1.838221492,2.031308535,1.947277002,1.787676073,1.710974384,2.377065285,2.788049454,2.449871337,2.720402138,3.573466966,3.611307317,3.280329374,2.030064778,2.268135502,2.000366243,2.32450607,2.698599972,2.362174552,2.521197244,2.100564932,1.378084205,1.13570413,1.157327188,1.033845179,0.948601854,1.714781728,2.186051156,2.216242312,2.785950224,2.801466441,2.675700509,3.78193892,3.882893239,4.102753875,4.742063176,2.366953388,3.656254063,4.253417413,3.806147093,3.793876241,3.26188449,2.391154202,2.40156113,2.853569176,3.76454189,3.506158157,3.991160952,
